BV Index,Tempature,Class
2.26,2921.397477,6
2.22,2956.922183,6
2.16,3011.904015,6
2.07,3098.433136,6
2.05,3118.360886,6
2.03,3138.55411,5
1.96,3211.401455,6
1.91,3265.606158,5
1.88,3299.044335,5
1.85,3333.196615,5
1.78,3415.797871,5
1.77,3427.944733,6
1.72,3490.044185,4
1.71,3502.744499,6
1.71,3502.744499,5
1.71,3502.744499,5
1.69,3528.434308,5
1.68,3541.426071,6
1.67,3554.517282,6
1.67,3554.517282,6
1.67,3554.517282,6
1.66,3567.709122,5
1.66,3567.709122,5
1.65,3581.00279,6
1.65,3581.00279,6
1.65,3581.00279,6
1.65,3581.00279,6
1.65,3581.00279,5
1.64,3594.399505,6
1.63,3607.900506,6
1.63,3607.900506,6
1.63,3607.900506,5
1.62,3621.507053,6
1.61,3635.220427,6
1.61,3635.220427,6
1.61,3635.220427,5
1.61,3635.220427,5
1.61,3635.220427,5
1.61,3635.220427,5
1.6,3649.041928,6
1.6,3649.041928,5
1.58,3677.014629,6
1.58,3677.014629,6
1.58,3677.014629,6
1.58,3677.014629,6
1.58,3677.014629,6
1.58,3677.014629,5
1.58,3677.014629,5
1.57,3691.168543,6
1.56,3705.436013,5
1.56,3705.436013,5
1.55,3719.818456,6
1.55,3719.818456,5
1.55,3719.818456,5
1.54,3734.317309,6
1.54,3734.317309,6
1.54,3734.317309,5
1.54,3734.317309,5
1.54,3734.317309,5
1.53,3748.934037,6
1.52,3763.670129,5
1.51,3778.527101,5
1.51,3778.527101,5
1.5,3793.506494,5
1.5,3793.506494,5
1.5,3793.506494,5
1.49,3808.609875,6
1.49,3808.609875,5
1.49,3808.609875,5
1.49,3808.609875,5
1.49,3808.609875,5
1.49,3808.609875,5
1.48,3823.838842,6
1.45,3870.29564,5
1.45,3870.29564,5
1.45,3870.29564,5
1.43,3901.925322,4
1.42,3917.94294,6
1.42,3917.94294,5
1.41,3934.098141,6
1.41,3934.098141,5
1.41,3934.098141,5
1.4,3950.392766,5
1.4,3950.392766,5
1.4,3950.392766,5
1.39,3966.828689,5
1.39,3966.828689,5
1.38,3983.407818,5
1.37,4000.132099,6
1.37,4000.132099,5
1.37,4000.132099,5
1.37,4000.132099,5
1.36,4017.003511,5
1.36,4017.003511,5
1.35,4034.024072,5
